Protein ID,Compartment
Q61749,Large Protein Complex
Q542B0,Large Protein Complex
Q9CRA8,Large Protein Complex
Q9D0M0,Large Protein Complex
Q8VBV3,Large Protein Complex
Q9CQA1,Large Protein Complex
Q9WV32,Large Protein Complex
Q546F8,Large Protein Complex
E9PVZ8,Golgi
Q61543,Golgi
Q921M4,Golgi
Q9QYE6,Golgi
Q91VW5,Golgi
D3YVW2,Golgi
Q6PB93,Golgi
E9Q512,Golgi
Q91XA2,Golgi
Q80XR2,Golgi
Q8CHG3,Golgi
Q61112,Golgi
O08912,Golgi
Q80VA0,Golgi
Q99JX3,Golgi
A0A0R4J1H6,Golgi
O88630,Golgi
Q8R3H7,Golgi
Q8VCS3,Golgi
P58158,Golgi
Q921V5,Golgi
Q91ZN5,Golgi
P53994,Ergic/cisGolgi
Q9D1D4,Ergic/cisGolgi
Q9D1Q6,Ergic/cisGolgi
Q9R0Q3,Ergic/cisGolgi
Q9D0F3,Ergic/cisGolgi
Q9DBH5,Ergic/cisGolgi
Q8R1V4,Ergic/cisGolgi
Q9DC16,Ergic/cisGolgi
Q8K1E0,Ergic/cisGolgi
D3YZZ5,Ergic/cisGolgi
D3Z4P2,Ergic/cisGolgi
Q9CQE7,Ergic/cisGolgi
Q99KF1,Ergic/cisGolgi
Q9CQU3,Ergic/cisGolgi
A2A9I0,Ergic/cisGolgi
Q9CR89,Ergic/cisGolgi
Q3V009,Ergic/cisGolgi
P59279,Ergic/cisGolgi
Q64310,Ergic/cisGolgi
O35623,Ergic/cisGolgi
Q99P72,ER_high_curvature
Q8K0T0,ER_high_curvature
O08547,ER_high_curvature
Q91YH5,ER_high_curvature
Q6PA06,ER_high_curvature
Q9ES97,ER_high_curvature
Q99KK1,ER_high_curvature
P08113,ER
P20029,ER
P14211,ER
P27773,ER
O55143,ER
Q6P5E4,ER
P09103,ER
P35564,ER
P08003,ER
Q91YQ5,ER
Q9JKR6,ER
Q99PL5,ER
Q8BI84,ER
Q8BHN3,ER
Q3TML0,ER
P24369,ER
P19324,ER
Q8BP92,ER
P37040,ER
A2ACG7,ER
Q9WV55,ER
Q9EPE9,ER
Q8VHE0,ER
P55302,ER
Q9EP69,ER
F8VQC1,ER
Q8BFZ9,ER
O54734,ER
E9Q411,ER
Q8BMA6,ER
O55022,ER
Q9QY76,ER
Q9Z2G6,ER
P11881,ER
Q91W90,ER
Q80UM7,ER
P46978,ER
O70503,ER
Q9DBG7,ER
P14576,ER
Q6ZQI3,ER
Q8BXZ1,ER
Q8BLN5,ER
Q9DC23,ER
Q8VCM8,ER
Q9CY27,ER
Q99KV1,ER
Q9CYN2,ER
Q8BHT6,ER
Q9D8V0,ER
Q3TDQ1,ER
P53798,ER
P57759,ER
Q9R0P6,ER
A0A0R4J078,ER
Q60715,ER
Q3V307,ER
Q9CQU0,ER
Q8BSY0,ER
Q8BYU6,ER
Q3URD3,ER
Q8K2C9,ER
Q9QYF1,ER
P47740,ER
Q8BXQ2,ER
P61620,ER
O35704,ER
Q8BU14,ER
Q9JHP7,ER
A2AMC3,ER
Q8VEH8,ER
